sid,A,B,C,D,Vth,out_mult,out_log
2,50,50,20,20,1793,1,0
2,50,50,20,20,1794,1,0
2,50,50,20,20,1795,1,0
2,50,50,20,20,1796,1,0
2,50,50,20,20,1797,1,0
2,50,50,20,20,1798,1,0
2,50,50,20,20,1799,1,0
2,50,50,20,20,1800,1,0
2,50,50,20,20,1801,1,0
2,50,50,20,20,1802,1,0
2,50,50,20,20,1803,1,0
2,50,50,20,20,1804,1,0
2,50,50,20,20,1805,1,0
2,50,50,20,20,1806,1,0
2,50,50,20,20,1807,1,0
2,50,50,20,20,1808,1,0
2,50,50,20,20,1809,1,0
2,50,50,20,20,1810,1,0
2,50,50,20,20,1811,1,0
2,50,50,20,20,1812,1,0
2,50,50,20,20,1813,1,0
2,50,50,20,20,1814,1,0
2,50,50,20,20,1815,1,0
2,50,50,20,20,1816,1,0
2,50,50,20,20,1817,1,0
2,50,50,20,20,1818,1,0
2,50,50,20,20,1819,1,0
2,50,50,20,20,1820,1,0
2,50,50,20,20,1821,1,0
2,50,50,20,20,1822,1,0
2,50,50,20,20,1823,1,0
2,50,50,20,20,1824,1,0
2,50,50,20,20,1825,1,0
2,50,50,20,20,1826,1,0
2,50,50,20,20,1827,1,0
2,50,50,20,20,1828,1,0
2,50,50,20,20,1829,1,0
2,50,50,20,20,1830,1,0
2,50,50,20,20,1831,1,0
2,50,50,20,20,1832,1,0
2,50,50,20,20,1833,1,0
2,50,50,20,20,1834,1,0
2,50,50,20,20,1835,1,0
2,50,50,20,20,1836,1,0
2,50,50,20,20,1837,1,0
2,50,50,20,20,1838,1,0
2,50,50,20,20,1839,1,0
2,50,50,20,20,1840,1,0
2,50,50,20,20,1841,1,0
2,50,50,20,20,1842,1,0
2,50,50,20,20,1843,1,0
2,50,50,20,20,1844,1,0
2,50,50,20,20,1845,1,0
2,50,50,20,20,1846,1,0
2,50,50,20,20,1847,1,0
2,50,50,20,20,1848,1,0
2,50,50,20,20,1849,1,0
2,50,50,20,20,1850,1,0
2,50,50,20,20,1851,1,0
2,50,50,20,20,1852,1,0
2,50,50,20,20,1853,1,0
2,50,50,20,20,1854,1,0
2,50,50,20,20,1855,1,0
2,50,50,20,20,1856,1,0
2,50,50,20,20,1857,1,0
2,50,50,20,20,1858,1,0
2,50,50,20,20,1859,1,0
2,50,50,20,20,1860,1,0
2,50,50,20,20,1861,1,0
2,50,50,20,20,1862,1,0
2,50,50,20,20,1863,1,0
2,50,50,20,20,1864,1,0
2,50,50,20,20,1865,1,0
2,50,50,20,20,1866,1,0
2,50,50,20,20,1867,1,0
2,50,50,20,20,1868,1,0
2,50,50,20,20,1869,1,0
2,50,50,20,20,1870,1,0
2,50,50,20,20,1871,1,0
2,50,50,20,20,1872,1,0
2,50,50,20,20,1873,1,0
2,50,50,20,20,1874,1,0
2,50,50,20,20,1875,1,0
2,50,50,20,20,1876,1,0
2,50,50,20,20,1877,1,0
2,50,50,20,20,1878,1,0
2,50,50,20,20,1879,1,0
2,50,50,20,20,1880,1,0
2,50,50,20,20,1881,1,0
2,50,50,20,20,1882,1,0
2,50,50,20,20,1883,1,0
2,50,50,20,20,1884,1,0
2,50,50,20,20,1885,1,0
2,50,50,20,20,1886,1,0
